Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Dillon/Quality Plus, Inc.",800-225-6543,http://www.dqplus.com,"Camarillo, CA 93012 | Locations",Distributor,"Distributor of dynomometers, force gauges, scales, load cell systems, testing machines. Calibration service",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Combined Indicating & Recording
Gauges: Compression
Gauges: Force Measuring
Gauges: Limit


Gauges: Mechanical Force
Gauges: Precision
Gauges: Pressure
Gauges: Rubber Testing
Gauges: Strain

View all Gages categories","All Products / Services

Analyzers
Automation Systems
Balances
Bottling Machinery
Calibration Services
Calibrators
Cells
Certification Services
Controls and Controllers
Counters


Crane Parts
Displays
Dynamometers
Extensometers
Gages
Indicators
Instruments
Maintenance and Repair Services
Measuring Equipment
Meters

View all products / services offered"
Slope Meter Co.,800-521-7719,http://www.slopemeter.com,"Minneapolis, MN 55430",Manufacturer,"Manufacturer & Distributor Of Inclinometers For Engineers. OEMs & Contractors Worldwide. Degree, Slope, Cross Slope (Ball Bank Systems) & Angle Measurement Inclinometers With Electronic Dual Axis, Remote Angle Sensing Or Single Axis Mechanicals. The Electronic Inclinometer Provides A Microcomputer System, A Temperature Compensation System, Dynamic Computer Calibration Accurate To .05 Degrees, Including Electronic Angle Sensing System With Dual Access Measurement. The Electronic Inclinometer Provides Resolution & Repeatability, Compatible With PCs & Other Electronic Devices",,,Under $1 Mil,10-49  Employees,"Gauges: Electronic


Gauges: Angular Measuring","All Products / Services

Alarms
Attachments
Booms
Controls and Controllers
Crane Parts
Gages
Gradiometers
Inclinometers
Indicators


Instruments
Levels
Lifts
Measuring Equipment
Meters
Platforms
Safety Equipment
Sensors / Detectors / Transducers
Tools"
Timitoo Tankmonitoring Solutions,817-778-4050,https://www.tankmonitoring.net/,"Flower Mound, TX 75022",Distributor,"Distributor of tank monitoring supplies. Products include level gages. Mechanical and electronic gages are available. Other products include remote controllers, cross-fill prevention equipment, web monitoring applications, ultrasonic monitors, probes, and propane systems.",,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges


Gauges: Tank Level","All Products / Services

Calibrators
Controls and Controllers
Delivery Systems
Gages
Monitoring Systems


Monitors
Probes
Propane Equipment
Software"
"General Tool & Supply Company, Inc",800-322-0005,https://www.generaltoolworldwide.com/,"Attleboro, MA 02703",Distributor,"Distributor of industrial supplies including abrasives, air tools, air hose, anchors, bandsaws, belts, bars, bits, blades, blanks, blocks, broaches, brushes, burs, cabinets, calipers, carbide tools, carts, chasers, chucks, clamps, cutters, deburring tools, discs, end mills, gages, grinders, tool holders, inserts, knives, lathes, lubricants, cutting machinery, micrometers, microscopes, mills, nibblers, pullers, reamers, saws, sharpeners, taps, threading equipment, wheels, amplifiers, diamond tools, deburring machinery, measuring devices, plates, protectors, rods, caliper rules, scrapers, spray guns, switches, tables, tap holders, gage testers, tubes, gage valves, milling machinery, wipes & wrenches.",,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Air Gap
Gauges: Air Pressure
Gauges: Angular Measuring


Gauges: Automatic Control
Gauges: Carbide
Gauges: Chamfer
Gauges: Circumference Measuring
Gauges: Countersink

View all Gages categories","All Products / Services

Abrasive Compounds / Media
Adapters
Alumina (Aluminum Oxide)
Amplifiers
Anti-Seize
Arbors
Attachments
Balls
Belts
Bits


Blades
Blanks
Blocks
Bolts
Broaches
Calibrators
Calipers
Carbide
Carbide Cutting Tools
Carvers

View all products / services offered"
A.A. Jansson,800-526-7766,https://www.aajansson.com/index.html,"Waterford, MI 48327",Distributor,"Distributor of new and used precision measuring equipment. Various products include optical comparators and microscopes, levels, granite and steel surface plates, parallels, straight edges, data collection devices, weights and scales. Air filtration systems, balances, blocks, interface boards, cables, calipers, gages, indicators, lenses, micrometers, comparator stands, testers and vision systems are also available. Capabilities include calibration, repairs, consulting, training and inspection. Meets ANSI/NCSL Z540-1-1994 and ISO/IEC 17025-1999 standards. A2LA Accredited. Used products may not always be available.",Precision Measuring Service and Equipment,www.linkedin.com/company/5079680?trk=tyah&trkInfo=tarId%3A1405422980436%2Ctas%3AA.A.%20Jansson%2Cidx%3A2-1-6,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Height
Gauges: Limit
Gauges: Master


Gauges: Measuring
Gauges: Plug & Ring
Gauges: Precision
Gauges: Ring
Gauges: Starrett

View all Gages categories","All Products / Services

Balances
Blocks
Boards
Calibration Services
Calibrators
Calipers
CMM Machinery
Comparators
Consulting Services
Coordinate Measuring Accessories


Data Collection Systems
Edgings and Edges
Extensions
Gages
Imaging Equipment
Indicators
Inspection Equipment
Inspection Services
Instruments
Laboratories

View all products / services offered"
JETECH,269-965-6311,https://www.jetech.com/,"Battle Creek, MI 49037",Manufacturer,"Manufacturer of high and ultra-high water jetting equipment and high pressure water pumps. Products include gauges, elbows, couplings, manifolds, tees, seals, valves, water cannons, hoses and nozzles. Pump systems and accessories are available for rent/lease.",,,$1 - 4.9 Mil,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Digital Pressure
Gauges: High Pressure


Gauges: Mechanical Force
Gauges: Pressure
Gauges: Stainless Steel","All Products / Services

Abrasive Blast Equipment
Adapters
Cannons
Cleaning Equipment
Controls and Controllers
Corrosion Resistant Products
Couplers and Couplings
Demolition Equipment
Elbows
Excavators
Fittings


Gages
Guns
Hose
Lances
Maintenance Equipment
Manifolds
Nozzles
Preparation Equipment
Pumping Systems
Pumps
Recovery Equipment

View all products / services offered"
"Cincinnati Precision Instruments, Inc.",800-686-3730,https://www.cpi1stop.com/,"Cincinnati, OH 45246",Service Company,"ISO 17025:2005 accredited distributor of precision measuring and surveying equipment. Products include gage blocks, testers, surface plates, optical comparators, microscopes, gages, calipers, micrometers, tapes, torque meters, indicators, wireless data collection systems, weighing and video inspection systems, cabinets, workstations, stands, squares, tool sets, rules, protractors, levels, indicator holders, micrometer heads, durometers and charts. Capabilities include rental, repair, training and calibration. Meets ANSI standards.","CPI is ISO 17025 accredited with A2LA.

Traceability - Calibration services are provided using standards traceable to the National Institute of Standards and Technology or appropriate national standard.

Integrity - Every instrument calibrated or repaired at CPI is tested according to manufacturer specifications using established procedures and NIST traceable standards.

On-Time - CPI ensures punctuality to match its precision. For all standard calibration orders, our turnaround time is five days or better. For unique tools needing special calibration our turnaround time will meet or beat industry average.

On-Site - CPI will conveniently bring our equipment and expertise to your location. It includes a wide range of gage calibration services and we even offer gage certifications before we leave your facility. No waiting for days or weeks to obtain gage data.

On-Call - CPI offers a comprehensive outsourced gage calibration and repair management program. We cover everything from service to sales More... of the finest precision tools. Our goal is to help you focus on what you do best while we handle the rest.

 Repair - Our highly skilled repair technicians have over 100 years of accumulated knowledge in precision tooling repair. We are an authorized Brown and Sharpe service center.

 Facility - Our facility has an environmentally controlled laboratory, a fully updated and computerized work environment, complete repair shop, equipment showroom, and training facilities.

 New tool and equipment sales - CPI offers major brand names such as Mitutoyo, Starrett, Dorsey Metrology, Mahr/Federal, Fowler, Insize, and Brown and Sharpe as well as products such as CMM's, video systems, form measuring equipment, and standard hand held gages and fixed limit Gages for solutions to many measurement applications. Less",,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Air
Gauges: Bore
Gauges: Brown & Sharpe


Gauges: Carbide
Gauges: Chamfer
Gauges: Coating Thickness
Gauges: Contour
Gauges: Coordinate Measuring

View all Gages categories","All Products / Services

Blocks
Cabinets
Calibration Services
Calibrators
Calipers
Centering Equipment
Charts
CMM Machinery
Comparators
Data Collection Systems


Durometers
Fixtures
Gages
Heads
Holders
Indicators
Inspection Equipment
Instruments
Levels
Maintenance and Repair Services

View all products / services offered"
"Dow Gage, LLC",888-369-4243,https://www.siroistool.com/dow-gage-simplified-dimensional-control/,"Berlin, CT 06037",Manufacturer,"Simplified dimensional control supplies an established method of accurately comparing dimensions of almost any part feature to ""mean zero"". Check depths, lengths, angle of taper (both male & female), position of taper, position of shoulders, slots & grooves & chamfer diameter with gages. Working from customer's part drawing will supply a design for a customized gage to suit the particular application. Skilled gage makers will insure that the final product makes accurate, repeatable & reproducible measurements.","INDUSTRIES SERVED

AUTOMOTIVE

Dow-Gages are currently used by our automotive customers for gaging components of fuel systems, diesel injection systems, anti-lock braking systems, supplemental restraint systems, steering and transmission parts, and other critical components.

HYDRAULIC FITTINGS AND VALVES

Dow-Gages can be found on the shop floor of many of the largest hydraulic fittings manufacturers in The United States, Canada, The United Kingdom, and South Korea.

FIREARMS

For over fifty years, we have provided gaging to the major firearms manufacturers as well as to The United States Government. Our gages have been used to check dimensions of components in pistols, shotguns, rifles, and automatic weapons.

MILITARY ORDNANCE

From the days of the Korean War to the present, Dow-Gages have been used in the inspection of fuse and projectile components of many of the major munitions and military ordnance manufacturers.

DOMESTIC

Major manufacturers of items such as acetylene welding torches, small More... hand tools, small gasoline engines and ignition systems, machine tools, and domestic plumbing components use customized Dow-Gages for in-process and post-process inspection on the shop floor.

 SCREW MACHINE PRODUCTS

 Customized Dow-Gages can be found in large and small screw machine shops throughout The United States and Canada. The wide variety of dimensional characteristics found in a typical screw machined part provide excellent applications for this type of fast, flexible, and accurate gaging. Less",,Under $1 Mil,10-49  Employees,"Gauges: Electronic
Gaging Systems
Gauges
Gauges: American Gauge Design (AGD) Standard
Gauges: Angular Measuring


Gauges: Chamfer
Gauges: Comparator
Gauges: Custom
Gauges: Depth
Gauges: Dial

View all Gages categories","All Products / Services

Blanks
Comparators
Gages
Indicators


Inspection Equipment
Measuring Equipment
Platens
Research, Design and Development Services"
Discount-Tools.com,877-848-8665,http://www.discount-tools.com/index.htm,"Huntington Beach, CA 92649",Distributor,"Distributor of abrasives, carbide end mills, chamfer tools, cylinders & blanks, drills & drill sets, keyseat cutters, saws, T-slot cutters, threading tools, angle milling cutters, cobalt end mills, counterbores, double angle cutters, fiberglass routers, reamers, shell end mills, taps, tool bits, boring tools, high speed steel end mills, MRO & shop supplies, countersinks, dovetail cutters, grooving tools, rotary files & burrs, slide milling cutters, thin disc cutters, & industrial & safety products.",,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Air
Gauges: Angular Measuring
Gauges: Ball


Gauges: Bore
Gauges: Brown & Sharpe
Gauges: Comparator
Gauges: Countersink
Gauges: Countersink, Depth

View all Gages categories","All Products / Services

Abrasive Blast Equipment
Abrasive Compounds / Media
Absorbers
Adhesives
Alumina (Aluminum Oxide)
Aluminum
Amplifiers
Anti-Seize
Aprons
Bandanas


Bands
Benders
Bits
Blades
Blanks
Blocks
Bolts
Boring Machinery
Brushes
Cabinets

View all products / services offered"
AirTAC USA Corp.,281-394-7177,https://us-en.airtac.com/,"Katy, TX 77449",Manufacturer,"Manufacturer of pneumatic equipment including actuators, valves, filters, regulators, gauges, cylinders, hose, silencers, controllers, tubes and fittings. Suitable for machinery manufacturing, metallurgy, printing, welding, lathe, environmental protection and lighting applications. Serves the automotive, electronics, construction, textile, medical equipment, food and packaging industries.",,,$25 - 49.9 Mil,200-499  Employees,"Gauges: Electronic
Gauges
Gauges: Air
Gauges: Air Pressure
Gauges: Automotive


Gauges: Dial
Gauges: Industrial
Gauges: Low Pressure
Gauges: Pressure","All Products / Services

Absorbers
Actuators
Connectors
Controls and Controllers
COVID-19 Response
Cylinders
Filters
Fittings
Gages
Grippers


Guides
Hose
Medical Components
Regulators
Sensors / Detectors / Transducers
Silencers
Switches
Tier 2 Medical Mfg. Supplies, Materials, Components & Services
Tubes
Valves

View all products / services offered"
"Hoggan Scientific, LLC",800-678-7888,https://hogganscientific.com/,"Salt Lake City, UT 84104",Manufacturer,"Manufacturer of medical and industrial diagnostic equipment and accessories. Products include inclinometers, dynamometers, force gages, sensing gloves and ergonomic kits.",,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges


Gauges: Force Measuring","All Products / Services

Attachments
COVID-19 Response
Dynamometers
Gages
Gloves


Inclinometers
Medical Equipment
Medical Personal Protective Equipment (PPE)
Medical Products and Hospital Equipment
Testers"
"Tomken Plastic Technologies, Inc.",800-382-2472,http://www.tomkenplastics.com,"Muncie, IN 47303",Custom Manufacturer,"Woman-owned. ISO 9001:2008 & ISO/TS16949:2009 certified. Capabilities include design, machining, validation, production molding, and assembly. Custom manufacturer of plastic injection molds and molded products for multiple industries. Molding machines ranging from 20 tons to 1,100 tons which can handle most part sizes from 1 g to 500 g. Available prototyping to production, and single cavity mold up to 32 cavity molds are offered. Materials include acrylonitrile butadiene styrene, acetal, acrylic, AES, ASA, high density polyethylene, low density polyethylene, most nylons, polybutylene terephthalate, polycarbonate, polyethylene, polypropylene, polyphthalamide, polyphenylene ether, polyphenylene sulfide, polystyrene, thermoplastic, thermoplastic elastomer, thermoplastic olefin, and thermoplastic polyurethane. Available parts include links, levers, clips, caps, covers, lens, housings, plates, duct, vents, bobbins, pivots, pins, gaskets, seals, sleeves, and bushings.",,,$5 - 9.9 Mil,50-99  Employees,"Gauges: Electronic
Gauges
Gauges: Automotive
Gauges: Custom
Gauges: Flush Pin


Gauges: Grinding
Gauges: Indicating
Gauges: Plastic
Gauges: Snap","All Products / Services

Additive Manufacturing Services
Assemblies
Assembly Services
Automotive Parts
Bases
Bearings
Bins
Bobbins
Bolts
Boring Services


Bowls
Boxes
Brackets
Bumpers
Bushings
Buttons
Cams
Canisters
Cans
Caps

View all products / services offered"
Gaging.com,888-978-9873,https://store.gaging.com/,"Las Vegas, NV 89130",Distributor,"Distributor of standard & custom measuring tools, gages & industrial supplies. Product lines include FOWLER, BROWN & SHARPE, MAHR-FEDERAL, STARRETT, MITUTOYO, S-T INDUSTRIES & RENISHAW. We have the best prices on calipers, micrometers, 1-2-3 blocks, acme gages, air gages, angle gages, angle plates, automotive tools, bench centers, bore gages, borescopes, calibration devices, center finders, chamfer gages & clamps. Other products such as edge finders, encoders, files, force gages, hardness testers & height gages are also available. Types of products also include CMMs, comparators, countersink gages, data acquisition software, deburring cutters, depth gages, durometers & dynamometers. Services include gage calibration & gage repairing. Products are available with up to 5-year warranties.",,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Air
Gauges: Aircraft & Aerospace
Gauges: Angular Measuring


Gauges: Automotive
Gauges: Bore
Gauges: Brown & Sharpe
Gauges: Chamfer
Gauges: Coating Thickness

View all Gages categories","All Products / Services

Balls
Bars
Bases
Binoculars
Blocks
Books
Borescopes
Calibration Services
Calibrators
Calipers


Charts
Clamps
CMM Machinery
Comparators
Data Collection Systems
Durometers
Dynamometers
Edgings and Edges
Encoders
Files

View all products / services offered"
LFE/API Meters,419-358-8750,http://www.lfemeters.com,"Bluffton, OH 45817",Manufacturer,"Manufacturer of standard and custom meters and meter relays with specialized dial and scale options. Products include taut band, signal, and panel meters and optical, self-contained, magnetic contact, locking coil, solid state, and set point meter relays. Meters are available in analog and digital types and ruggedized and sealed configurations with AC and DC ranges. Relays are suitable for indication and control applications. Available in a variety of sizes, specifications, and features. Also offers relay control modules. Provides limited one-year warranty. Made in the USA. Meets MIL-Q-9858A standard.",,,Not Available,Not Available  Employees,"Gauges: Electronic
Gauges
Gauges: Custom
Gauges: Dial


Gauges: Magnetic
Gauges: Measuring
Gauges: Military Specification
Gauges: Process","All Products / Services

Ammeters
Coils
Controls and Controllers
Data Acquisition Systems
Electromechanical Devices
Electronics
Flowmeters
Gages
Indicators
Instruments


Measuring Equipment
Meters
Military Equipment
Modules
Monitors
Readout Systems
Relays
Thermometers
Voltmeters"
Nordson Industrial Coating Systems,800-433-9319,https://www.nordson.com/en/divisions/industrial-coating-systems/application-solutions/powder-coating,"Amherst, OH 44001",Manufacturer,"Manufacturer of industrial coating systems. Various products include applicators, bulk delivery systems, controllers, dryers, feed centers, gages, guns, meters, nozzles, pumps, powder coating booths, tubing, sterilizers, valves, and UV curing equipment. Suitable for precise application and curing of powder coatings, liquid paint, ambient temperature adhesives and sealants, and food and beverage containers. Serves aerospace, agriculture, appliance, automotive, construction, electrical, filtration, food, furniture, home and office, machinery, lighting, and marine industries. CE certified.","As the most experienced global name in powder coating application technology, we're trusted by the world's leading manufacturers to help them get it right every time, for over 60 years.

Our product range features automatic or manual spray-guns designed for the perfect application and the fastest color change.

Additionally, our industry-leading spray booth systems; single color or fast color change, cartridge or cyclone, provide the efficiency and flexibility to enable your production.

Our philosophy, centered around exceptional product and customer service performance, is built into everything that we do.

We call it - Performance by design.",www.linkedin.com/company/nordson-industrial-coating-systems/,Not Available,Not Available  Employees,"Gauges: Electronic
Gauges
Gauges: Aircraft & Aerospace
Gauges: Automotive
Gauges: Coating Thickness


Gauges: Indicating
Gauges: Industrial
Gauges: Marine
Gauges: Measuring
Gauges: Mil

View all Gages categories","All Products / Services

Applicators
Atomizers
Booths
Cleaning Equipment
Coating Equipment
Controls and Controllers
Dispensers
Dryers
Feeders and Feed Systems
Gages


Guns
Heaters
Instruments
Lubricators
Markers and Marking Equipment
Measuring Equipment
Melters
Meters
Nozzles
Oscillators

View all products / services offered"
"Verimation Technology, Inc.",800-521-5245,http://www.verimation.com/,"Farmington Hills, MI 48335",Manufacturer,"Manufacturer of eddy current tester, automatic gages, and ultrasound test systems. Capabilities include the ability to analyze material properties, test for internal flaws, surface defects, hardness, case depth, and conductivity of ferrous metals, alloys, and metal parts. Gauging systems can measure bores, pistons, crankshafts, camshafts, and axle shafts. Feature includes non-destructive testing. Serves the aircraft, automotive, fixture manufacturing, metallurgical, and defense industries.",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gaging Systems
Gauges
Gauges: Dimensional
Gauges: Hardness


Gauges: Industrial
Gauges: Inspection
Gauges: Laboratory
Gauges: Measuring
Gauges: Process","All Products / Services

Automation Services
Controls and Controllers
Data Acquisition Systems
Gages
Inspection Equipment
Inspection Services
Instruments


Measuring Equipment
Sensors / Detectors / Transducers
Sorters
Testers
Ultrasonic Equipment
Ultrasound Systems"
"Summit City Precision Machining, Inc.",260-459-7031,https://www.goscpm.com/,"Fort Wayne, IN 46804",Custom Manufacturer,"2, 3, 4 and 5-axis CNC machining and CMM EDM services. Works with alloy steel, aluminum, brass, bronze alloy, carbide, carbon steel, cobalt, copper, Inconel®, iron, nickel, stainless steel, superalloy, tin, titanium, tungsten and zinc. Fabricated products include custom gauges and fixtures. Processes include electrical discharge machining (EDM) drilling, electrode and precision machining and sinker and wire EDM. Prototype and low volume production runs. Serves the aerospace, agricultural, automotive, biomedical, electronics, HVAC, marine, medical, military, mining, molding, railroad, robotics and semiconductor industries. Meets ANSI standards.",,,Not Available,Not Available  Employees,"Gauges: Electronic
Gauges
Gauges: Aircraft & Aerospace
Gauges: Automotive
Gauges: Custom


Gauges: Fixture
Gauges: Industrial
Gauges: Marine
Gauges: Military Specification
Gauges: Precision

View all Gages categories","All Products / Services

Automotive Parts
COVID-19 Response
Drilling Services
Fixtures
Gages
Job Shop Services


Machining
Maintenance and Repair Services
Manufacturing Services
Research, Design and Development Services
Tier 2 Medical Mfg. Supplies, Materials, Components & Services"
The Canada Company,800-851-9736,http://www.canadaco.com,"Tulsa, OK 74145",Manufacturers' Rep,"Mfr's rep. of instruments & flow control systems. Various products include transmitters, tank & level gages, flowmeters, flowtubes, detectors, lubrication systems, tank valves, vents, flame detonation arrestors & temperature & positional controls. Engineering services are also available.",,,$1 - 4.9 Mil,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Automatic Control
Gauges: Chemical
Gauges: Cryogenic


Gauges: Depth
Gauges: Differential Pressure
Gauges: Digital Pressure
Gauges: Flow
Gauges: Gasoline

View all Gages categories","All Products / Services

Actuators
Alarms
Analyzers
Annunciators
Arresters
Batchers
Blenders
Borescopes
Calibrators
Cameras


Cold Chain Equipment
Communication Systems
Compensators
Conditioners
Connectors
Controls and Controllers
Converters
Corrosion Resistant Products
Covers
COVID-19 Response

View all products / services offered"
Palmer Wahl Instrumentation Group,800-421-2853,http://www.palmerwahl.com,"Asheville, NC 28804",Manufacturer,"Manufacturer of industrial temperature, pressure, test, and calibration instruments. Product selection includes thermal imaging cameras, infrared thermometers, temperature calibrators, bimetal, dial, industrial and laboratory thermometers and thermowells, pressure gauges, temperature recording labels, chart recorders, RTD and TC meters, and ohmmeters. Value-added calibration and repair services are available. Custom calibration points can be provided. Serves the electronic, HVAC, manufacturing and process, medical, packaging, physiotherapy, power utilities, preventative maintenance, retail, food, security, and transportation markets. Products are ISO 9001:2015 certified.","Palmer Wahl Instrumentation Group has more than 175 Years of temperature measurement experience. America's first thermometer company is a consistent innovator in the temperature industry, laying claim to a number of industry Firsts. 

Palmer Wahl Instrumentation Group offers a wide variety of standard temperature and pressure instrumentation products. Contact us for a custom solution to your unique problem. 

Now featuring Heat Spy Thermal Imaging cameras, the worlds first Thermal Imager upgradeable after purchase. Heat Spy a50 and z50 Inspector Models now come standard with SPY-CARE, a two-year No Fault Warranty. If your z50 or a50 series Heat Spy Thermal Imager breaks, no matter what the reason, we will repair or replace your camera FREE. If you drop it from a 20 ft ladder, if it falls into a swimming pool, or if you back over it with a truck  any unintentional damage even if it is your fault  Palmer Wahl will fix or replace your camera for FREE. This protection is for the duration of More... the warranty period of two years from the original purchase date. Get unlimited repairs and up to one replacement camera anytime during the two years!

 Wahls DST600 Self-Checking RTD Thermometer, designed for food processing applications is now available. Patent pending self-checking technology ensures the accuracy and reliability of your temperature system. The DST600 is designed to directly replace a Mercury-in-Glass system. Many probe designs are available, including adjustable angle, rigid, or remote probe configurations. Contact us to determine the best configuration for your application. 

 Distributors: Please contact us if you're interested in offering our products to your customers. We're always looking for motivated companies to join our network of US and internationally based distributors. Less",,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Air Pressure
Gauges: Bourdon Tube
Gauges: Combined Indicating & Recording


Gauges: Compound
Gauges: Dial
Gauges: Differential Pressure
Gauges: Digital Pressure
Gauges: Force Measuring

View all Gages categories","All Products / Services

Analyzers
Calibration Services
Calibrators
Cameras
Charts
Cold Chain Equipment
Connectors
COVID-19 Response
Data Loggers
Dials


Fire Fighting Electronics
Fittings
Gages
Hygrometers
Imaging Equipment
Indicators
Instruments
Labels
Laboratory Equipment
Measuring Equipment

View all products / services offered"
CNC Toolholders,631-612-1260,http://www.cnctoolholders.com,"Selden, NY 11784",Distributor,"Distributor of cutting tools, tool holders & accessories. Cutting tools & tool holders include collets, arbors, tapping, milling, collet, precision & hydraulic chucks, carbide thread mills, drill heads, end mills, fixtures, tapping heads, retention knobs, spindle speeders, pull studs, cutting & precision tools. Accessories include tool carts, clamping systems, tool clamps, tool presetters, pull studs, milling machine vises, milling chuck wrenches & collets, electronic gages, CNC markers & collet closers, Applications include CNC machining, CNC turning, milling, drilling, tool, mold & running production parts. Same day shipping.",,,Not Available,Not Available  Employees,Gauges: Electronic,"All Products / Services

Adapters
Arbors
Chucks and Collets
Clamping Systems
Closers
Fixtures
Gages
Gearheads and Gearboxes
Heads
Holders


Knobs
Markers and Marking Equipment
Mills
Nuts (Fasteners)
Studs
Tooling
Tools
Trucks and Carts
Vises
Wrenches"
DropsA USA,586-566-1540,https://www.dropsausa.com/,"Sterling Heights, MI 48314",Manufacturer,"Manufacturer of lubrication products. Offers pumps, dividers, injectors and restrictors, manifolds, fittings, tubing, controllers, and sensors and monitoring devices. Also offers air and oil and minimum quantity lubrication systems (MQL), mist systems, valves, nozzles, filters, reservoirs, and lubricants. Products are available in various models, specifications, and features. Industries served include steel and aluminum, near-dry machining, mining and construction, marine and offshore, and transport equipment and infrastructure.","When it comes to providing the simplest most affordable and efficient lubrication systems, no one does it like DropsA USA. Since 1946, our company has been pioneering the way in new lubrication technologies and innovations across every industry. This knowledge has provided our customers with products that maximize machinery's potential while increasing the lifespan of tools, bearings and many other industrial applications.",www.linkedin.com/company/dropsausa,Not Available,10-49  Employees,"Gauges: Electronic
Gaging Systems
Gauges
Gauges: Dial
Gauges: Industrial


Gauges: Liquid Level
Gauges: Marine
Gauges: Measuring
Gauges: Optical
Gauges: Pressure

View all Gages categories","All Products / Services

Agricultural Equipment
Blocks
Clips
Connectors
Construction Equipment
Controls and Controllers
Corrosion Resistant Products
Couplers and Couplings
Dewatering Equipment
Dividers


Elbows
Filters
Fittings
Flowmeters
Fluid Conditioning Equipment
Fluids
Gages
Gears
Generators
Grease

View all products / services offered"
NDC Technologies,800-886-9935,https://www.ndc.com/,"Dayton, OH 45424",Manufacturer,"Manufacturer of integrated process control solutions. Products include diameter and ovality measurement systems, eccentricity measurement systems, ultrasonic wall thickness measurement systems, length and speed measurement systems, lay length systems, capacitance measurement systems, DCM cable testing systems, fault detection systems, preheaters, off-line dimensional measurement systems, optical fiber measurement systems, process control and data management systems, structural return loss prediction systems, data collection/monitoring systems and custom solutions. Industries include wire, cable and fiber, metals, pipe and tube, metrology, length and speed and diameter measurement.",,,$100 - 249.9 Mil,100-199  Employees,"Gauges: Electronic
Gauges: Angular Measuring
Gauges: Automatic Control
Gauges: Circumference Measuring
Gauges: Continuous Process


Gauges: Custom
Gauges: Diameter
Gauges: Dimensional
Gauges: Eccentricity
Gauges: Geometry Measuring

View all Gages categories","All Products / Services

Batchers
Calibrators
Calipers
Controls and Controllers
Drawing Machinery
Electro-Optical Equipment
Electro-Optical Systems
Gages
Heaters
Hoppers


Inspection Equipment
Instruments
Measuring Equipment
Meters
Micrometers
Scanners / Readers
Sensors / Detectors / Transducers
Testers
Ultrasound Systems"
Suncoast Precision Tools,727-546-4655,https://www.suncoasttools.com/crm/adlandingpage.aspx?code=thomasfreeship,"Largo, FL 33777",Distributor,"Online distributor of industrial supplies and cutting tools. Industrial supplies such as abrasives, air tools, adhesives, deburring products, gages, flashlights, fluids, hand tools, indexable tooling, inspection instruments, measuring instruments, safety supplies, shop supplies, spare parts, STI threaded products, tool holding devices, tool storage devices and work holding devices are available. Cutting tools include boring bars, carbide burrs, chamfer mills, concave cutters, convex cutters, counterbores, countersinks, cutoff tools, threading dies, double angle cutters, drills, drill blanks, mills, drill tap combo draps, dovetail cutters, end mills, engraving tools, extractors, indexable tools, inserts, keyseat cutters, reamers, routers, saws, taps, thread mills, threading tools and tool bits.","Suncoast Precision Tools is a Florida Based Online Cutting Tool & Industrial Supplier. We have served our Industry since 1963 as a family based business. We offer over 1/2 Million Products on our website and we stock over 23,000 items at our local warehouse/showroom. All of our products you can buy 100% online on our website.",,$1 - 4.9 Mil,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Angular Measuring
Gauges: Bore
Gauges: Depth


Gauges: Dial
Gauges: Drill
Gauges: External
Gauges: Feeler
Gauges: Height

View all Gages categories","All Products / Services

Abrasive Compounds / Media
Adapters
Adhesives
Anti-Seize
Anvils
Arbors
Bands
Bars
Bases
Batteries


Belts
Bits
Blades
Blanks
Blocks
Brushes
Cabinets
Calipers
Carbide
Carbide Cutting Tools

View all products / services offered"
"Strain Measurement Devices, Inc. (SMD)",203-294-5800,https://www.smdsensors.com,"Wallingford, CT 06492",,"Strain Gauges, Load Cells, Pressure Diaphragms",,,Not Available,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Absolute Pressure
Gauges: Aircraft & Aerospace
Gauges: Automatic Control


Gauges: Automotive
Gauges: Compression
Gauges: Custom
Gauges: Displacement
Gauges: Flow

View all Gages categories","All Products / Services

Accelerometers
Balances
Calibration Services
Calibrators
Cells
Controls and Controllers
COVID-19 Response
Data Acquisition Systems
Diagnostic Equipment
Diaphragms


Electronics
Gages
Indicators
Instrumentation
Instruments
Laboratory Equipment
Measuring Equipment
Medical Components
Medical Laboratory Consumable Supplies
Medical Products and Hospital Equipment

View all products / services offered"
